feature,time,data
2016/5/2 21:30,1290,0
2016/5/2 21:45,1305,0
2016/5/2 22:00,1320,0
2016/5/2 22:15,1335,0
2016/5/2 22:30,1350,0
2016/5/2 22:45,1365,0
2016/5/2 23:00,1380,0
2016/5/2 23:15,1395,0
2016/5/2 23:30,1410,0
2016/5/2 23:45,1425,0
2016/5/3 0:00,0,0
2016/5/3 0:15,15,0
2016/5/3 0:30,30,0
2016/5/3 0:45,45,0
2016/5/3 1:00,60,0
2016/5/3 1:15,75,0
2016/5/3 1:30,90,0
2016/5/3 1:45,105,0
2016/5/3 2:00,120,0
2016/5/3 2:15,135,0
2016/5/3 2:30,150,0
2016/5/3 2:45,165,0
2016/5/3 3:00,180,0
2016/5/3 3:15,195,0
2016/5/3 3:30,210,0
2016/5/3 3:45,225,0
2016/5/3 4:00,240,0
2016/5/3 4:15,255,0
2016/5/3 4:30,270,0
2016/5/3 4:45,285,0
2016/5/3 5:00,300,0
2016/5/3 5:15,315,0
2016/5/3 5:30,330,0
2016/5/3 5:45,345,0
2016/5/3 6:00,360,0
2016/5/3 6:15,375,0
2016/5/3 6:30,390,0
2016/5/3 6:45,405,0
2016/5/3 7:00,420,0
2016/5/3 7:15,435,0
2016/5/3 7:30,450,0
2016/5/3 7:45,465,0
2016/5/3 8:00,480,0
2016/5/3 8:15,495,0
2016/5/3 8:30,510,0
2016/5/3 8:45,525,0
2016/5/3 9:00,540,0
2016/5/3 9:15,555,0
2016/5/3 9:30,570,48
2016/5/3 9:45,585,48
2016/5/3 10:00,600,48
2016/5/3 10:15,615,48
2016/5/3 10:30,630,48
2016/5/3 10:45,645,48
2016/5/3 11:00,660,48
2016/5/3 11:15,675,48
2016/5/3 11:30,690,48
2016/5/3 11:45,705,48
2016/5/3 12:00,720,48
2016/5/3 12:15,735,48
2016/5/3 12:30,750,48
2016/5/3 12:45,765,48
2016/5/3 13:00,780,48
2016/5/3 13:15,795,48
2016/5/3 13:30,810,48
2016/5/3 13:45,825,48
2016/5/3 14:00,840,48
2016/5/3 14:15,855,48
2016/5/3 14:30,870,48
2016/5/3 14:45,885,48
2016/5/3 15:00,900,48
2016/5/3 15:15,915,48
2016/5/3 15:30,930,48
2016/5/3 15:45,945,48
2016/5/3 16:00,960,48
2016/5/3 16:15,975,48
2016/5/3 16:30,990,48
2016/5/3 16:45,1005,48
2016/5/3 17:00,1020,48
2016/5/3 17:15,1035,48
2016/5/3 17:30,1050,48
2016/5/3 17:45,1065,48
2016/5/3 18:00,1080,48
2016/5/3 18:15,1095,48
2016/5/3 18:30,1110,48
2016/5/3 18:45,1125,48
2016/5/3 19:00,1140,48
2016/5/3 19:15,1155,48
2016/5/3 19:30,1170,48
2016/5/3 19:45,1185,48
2016/5/3 20:00,1200,0
2016/5/3 20:15,1215,0
2016/5/3 20:30,1230,0
2016/5/3 20:45,1245,0
2016/5/3 21:00,1260,0
2016/5/3 21:15,1275,0
2016/5/3 21:30,1290,0
2016/5/3 21:45,1305,0
2016/5/3 22:00,1320,0
2016/5/3 22:15,1335,0
2016/5/3 22:30,1350,0
2016/5/3 22:45,1365,0
2016/5/3 23:00,1380,0
2016/5/3 23:15,1395,0
2016/5/3 23:30,1410,0
2016/5/3 23:45,1425,0
2016/5/4 0:00,0,0
2016/5/4 0:15,15,0
2016/5/4 0:30,30,0
2016/5/4 0:45,45,0
2016/5/4 1:00,60,0
2016/5/4 1:15,75,0
2016/5/4 1:30,90,0
2016/5/4 1:45,105,0
2016/5/4 2:00,120,0
2016/5/4 2:15,135,0
2016/5/4 2:30,150,0
2016/5/4 2:45,165,0
2016/5/4 3:00,180,0
2016/5/4 3:15,195,0
2016/5/4 3:30,210,0
2016/5/4 3:45,225,0
2016/5/4 4:00,240,0
2016/5/4 4:15,255,0
2016/5/4 4:30,270,0
2016/5/4 4:45,285,0
2016/5/4 5:00,300,0
2016/5/4 5:15,315,0
2016/5/4 5:30,330,0
2016/5/4 5:45,345,0
2016/5/4 6:00,360,0
2016/5/4 6:15,375,0
2016/5/4 6:30,390,0
2016/5/4 6:45,405,0
2016/5/4 7:00,420,0
2016/5/4 7:15,435,0
2016/5/4 7:30,450,0
2016/5/4 7:45,465,0
2016/5/4 8:00,480,0
2016/5/4 8:15,495,0
2016/5/4 8:30,510,0
2016/5/4 8:45,525,0
2016/5/4 9:00,540,33
2016/5/4 9:15,555,33
2016/5/4 9:30,570,33
2016/5/4 9:45,585,33
2016/5/4 10:00,600,33
2016/5/4 10:15,615,33
2016/5/4 10:30,630,33
2016/5/4 10:45,645,33
2016/5/4 11:00,660,33
2016/5/4 11:15,675,33
2016/5/4 11:30,690,33
2016/5/4 11:45,705,33
2016/5/4 12:00,720,33
2016/5/4 12:15,735,33
2016/5/4 12:30,750,33
2016/5/4 12:45,765,33
2016/5/4 13:00,780,33
2016/5/4 13:15,795,33
2016/5/4 13:30,810,33
2016/5/4 13:45,825,33
2016/5/4 14:00,840,33
2016/5/4 14:15,855,33
2016/5/4 14:30,870,33
2016/5/4 14:45,885,33
2016/5/4 15:00,900,33
2016/5/4 15:15,915,33
2016/5/4 15:30,930,33
2016/5/4 15:45,945,33
2016/5/4 16:00,960,33
2016/5/4 16:15,975,33
2016/5/4 16:30,990,33
2016/5/4 16:45,1005,33
2016/5/4 17:00,1020,33
2016/5/4 17:15,1035,33
2016/5/4 17:30,1050,33
2016/5/4 17:45,1065,33
2016/5/4 18:00,1080,33
2016/5/4 18:15,1095,33
2016/5/4 18:30,1110,33
2016/5/4 18:45,1125,33
2016/5/4 19:00,1140,33
2016/5/4 19:15,1155,0
2016/5/4 19:30,1170,0
2016/5/4 19:45,1185,0
2016/5/4 20:00,1200,0
2016/5/4 20:15,1215,0
2016/5/4 20:30,1230,0
2016/5/4 20:45,1245,0
2016/5/4 21:00,1260,0
2016/5/4 21:15,1275,0
2016/5/4 21:30,1290,0
2016/5/4 21:45,1305,0
2016/5/4 22:00,1320,0
2016/5/4 22:15,1335,0
2016/5/4 22:30,1350,0
2016/5/4 22:45,1365,0
2016/5/4 23:00,1380,0
2016/5/4 23:15,1395,0
2016/5/4 23:30,1410,0
2016/5/4 23:45,1425,0
2016/5/5 0:00,0,0
2016/5/5 0:15,15,0
2016/5/5 0:30,30,0
2016/5/5 0:45,45,0
2016/5/5 1:00,60,0
2016/5/5 1:15,75,0
2016/5/5 1:30,90,0
2016/5/5 1:45,105,0
2016/5/5 2:00,120,0
2016/5/5 2:15,135,0
2016/5/5 2:30,150,0
2016/5/5 2:45,165,0
2016/5/5 3:00,180,0
2016/5/5 3:15,195,0
2016/5/5 3:30,210,0
2016/5/5 3:45,225,0
2016/5/5 4:00,240,0
2016/5/5 4:15,255,0
2016/5/5 4:30,270,0
2016/5/5 4:45,285,0
2016/5/5 5:00,300,0
2016/5/5 5:15,315,0
2016/5/5 5:30,330,0
2016/5/5 5:45,345,0
2016/5/5 6:00,360,0
2016/5/5 6:15,375,0
2016/5/5 6:30,390,0
2016/5/5 6:45,405,0
2016/5/5 7:00,420,0
2016/5/5 7:15,435,0
2016/5/5 7:30,450,0
2016/5/5 7:45,465,0
2016/5/5 8:00,480,0
2016/5/5 8:15,495,0
2016/5/5 8:30,510,0
2016/5/5 8:45,525,0
2016/5/5 9:00,540,0
2016/5/5 9:15,555,0
2016/5/5 9:30,570,48
2016/5/5 9:45,585,48
2016/5/5 10:00,600,48
2016/5/5 10:15,615,48
2016/5/5 10:30,630,48
2016/5/5 10:45,645,48
2016/5/5 11:00,660,48
2016/5/5 11:15,675,48
2016/5/5 11:30,690,48
2016/5/5 11:45,705,48
2016/5/5 12:00,720,48
2016/5/5 12:15,735,48
2016/5/5 12:30,750,48
2016/5/5 12:45,765,48
2016/5/5 13:00,780,48
2016/5/5 13:15,795,48
2016/5/5 13:30,810,48
2016/5/5 13:45,825,48
2016/5/5 14:00,840,48
2016/5/5 14:15,855,48
2016/5/5 14:30,870,48
2016/5/5 14:45,885,48
2016/5/5 15:00,900,48
2016/5/5 15:15,915,48
2016/5/5 15:30,930,48
2016/5/5 15:45,945,48
2016/5/5 16:00,960,48
2016/5/5 16:15,975,48
2016/5/5 16:30,990,48
2016/5/5 16:45,1005,48
2016/5/5 17:00,1020,48
2016/5/5 17:15,1035,48
2016/5/5 17:30,1050,48
2016/5/5 17:45,1065,48
2016/5/5 18:00,1080,48
2016/5/5 18:15,1095,48
2016/5/5 18:30,1110,48
2016/5/5 18:45,1125,48
2016/5/5 19:00,1140,48
2016/5/5 19:15,1155,48
2016/5/5 19:30,1170,48
2016/5/5 19:45,1185,48
2016/5/5 20:00,1200,48
2016/5/5 20:15,1215,0
2016/5/5 20:30,1230,0
2016/5/5 20:45,1245,0
2016/5/5 21:00,1260,0
2016/5/5 21:15,1275,0
2016/5/5 21:30,1290,0
2016/5/5 21:45,1305,0
2016/5/5 22:00,1320,0
2016/5/5 22:15,1335,0
2016/5/5 22:30,1350,0
2016/5/5 22:45,1365,0
2016/5/5 23:00,1380,0
2016/5/5 23:15,1395,0
2016/5/5 23:30,1410,0
2016/5/5 23:45,1425,0
2016/5/6 0:00,0,0
2016/5/6 0:15,15,0
2016/5/6 0:30,30,0
2016/5/6 0:45,45,0
2016/5/6 1:00,60,0
2016/5/6 1:15,75,0
2016/5/6 1:30,90,0
2016/5/6 1:45,105,0
2016/5/6 2:00,120,0
2016/5/6 2:15,135,0
2016/5/6 2:30,150,0
2016/5/6 2:45,165,0
2016/5/6 3:00,180,0
2016/5/6 3:15,195,0
2016/5/6 3:30,210,0
2016/5/6 3:45,225,0
2016/5/6 4:00,240,0
2016/5/6 4:15,255,0
2016/5/6 4:30,270,0
2016/5/6 4:45,285,0
2016/5/6 5:00,300,0
2016/5/6 5:15,315,0
2016/5/6 5:30,330,0
2016/5/6 5:45,345,0
2016/5/6 6:00,360,0
2016/5/6 6:15,375,0
2016/5/6 6:30,390,0
2016/5/6 6:45,405,0
2016/5/6 7:00,420,0
2016/5/6 7:15,435,0
2016/5/6 7:30,450,0
2016/5/6 7:45,465,0
2016/5/6 8:00,480,0
2016/5/6 8:15,495,0
2016/5/6 8:30,510,0
2016/5/6 8:45,525,48
2016/5/6 9:00,540,48
2016/5/6 9:15,555,48
2016/5/6 9:30,570,48
2016/5/6 9:45,585,48
2016/5/6 10:00,600,48
2016/5/6 10:15,615,48
2016/5/6 10:30,630,48
2016/5/6 10:45,645,48
2016/5/6 11:00,660,48
2016/5/6 11:15,675,48
2016/5/6 11:30,690,48
2016/5/6 11:45,705,48
2016/5/6 12:00,720,81
2016/5/6 12:15,735,33
2016/5/6 12:30,750,33
2016/5/6 12:45,765,33
2016/5/6 13:00,780,33
2016/5/6 13:15,795,33
2016/5/6 13:30,810,33
2016/5/6 13:45,825,33
2016/5/6 14:00,840,33
2016/5/6 14:15,855,33
2016/5/6 14:30,870,33
2016/5/6 14:45,885,33
2016/5/6 15:00,900,33
2016/5/6 15:15,915,33
2016/5/6 15:30,930,33
2016/5/6 15:45,945,33
2016/5/6 16:00,960,33
2016/5/6 16:15,975,33
2016/5/6 16:30,990,33
2016/5/6 16:45,1005,33
2016/5/6 17:00,1020,33
2016/5/6 17:15,1035,33
2016/5/6 17:30,1050,33
2016/5/6 17:45,1065,33
2016/5/6 18:00,1080,33
2016/5/6 18:15,1095,33
2016/5/6 18:30,1110,33
2016/5/6 18:45,1125,33
2016/5/6 19:00,1140,33
2016/5/6 19:15,1155,0
2016/5/6 19:30,1170,0
2016/5/6 19:45,1185,0
2016/5/6 20:00,1200,0
2016/5/6 20:15,1215,0
2016/5/6 20:30,1230,0
2016/5/6 20:45,1245,0
2016/5/6 21:00,1260,0
2016/5/6 21:15,1275,0
2016/5/6 21:30,1290,0
2016/5/6 21:45,1305,0
2016/5/6 22:00,1320,0
2016/5/6 22:15,1335,0
2016/5/6 22:30,1350,0
2016/5/6 22:45,1365,0
2016/5/6 23:00,1380,0
2016/5/6 23:15,1395,0
2016/5/6 23:30,1410,0
2016/5/6 23:45,1425,0
2016/5/7 0:00,0,0
2016/5/7 0:15,15,0
2016/5/7 0:30,30,0
2016/5/7 0:45,45,0
2016/5/7 1:00,60,0
2016/5/7 1:15,75,0
2016/5/7 1:30,90,0
2016/5/7 1:45,105,0
2016/5/7 2:00,120,0
2016/5/7 2:15,135,0
2016/5/7 2:30,150,0
2016/5/7 2:45,165,0
2016/5/7 3:00,180,0
2016/5/7 3:15,195,0
2016/5/7 3:30,210,0
2016/5/7 3:45,225,0
2016/5/7 4:00,240,0
2016/5/7 4:15,255,0
2016/5/7 4:30,270,0
2016/5/7 4:45,285,0
2016/5/7 5:00,300,0
2016/5/7 5:15,315,0
2016/5/7 5:30,330,0
2016/5/7 5:45,345,0
2016/5/7 6:00,360,0
2016/5/7 6:15,375,0
2016/5/7 6:30,390,0
2016/5/7 6:45,405,0
2016/5/7 7:00,420,0
2016/5/7 7:15,435,0
2016/5/7 7:30,450,0
2016/5/7 7:45,465,0
2016/5/7 8:00,480,0
2016/5/7 8:15,495,0
2016/5/7 8:30,510,0
2016/5/7 8:45,525,33
2016/5/7 9:00,540,33
2016/5/7 9:15,555,48
2016/5/7 9:30,570,48
2016/5/7 9:45,585,48
2016/5/7 10:00,600,48
2016/5/7 10:15,615,48
2016/5/7 10:30,630,48
2016/5/7 10:45,645,48
2016/5/7 11:00,660,48
2016/5/7 11:15,675,48
2016/5/7 11:30,690,48
2016/5/7 11:45,705,48
2016/5/7 12:00,720,48
2016/5/7 12:15,735,48
2016/5/7 12:30,750,48
2016/5/7 12:45,765,48
2016/5/7 13:00,780,48
2016/5/7 13:15,795,48
2016/5/7 13:30,810,48
2016/5/7 13:45,825,48
2016/5/7 14:00,840,48
2016/5/7 14:15,855,48
2016/5/7 14:30,870,48
2016/5/7 14:45,885,48
2016/5/7 15:00,900,48
2016/5/7 15:15,915,48
2016/5/7 15:30,930,48
2016/5/7 15:45,945,48
2016/5/7 16:00,960,48
2016/5/7 16:15,975,48
2016/5/7 16:30,990,48
2016/5/7 16:45,1005,48
2016/5/7 17:00,1020,48
2016/5/7 17:15,1035,48
2016/5/7 17:30,1050,48
2016/5/7 17:45,1065,48
2016/5/7 18:00,1080,48
2016/5/7 18:15,1095,48
2016/5/7 18:30,1110,48
2016/5/7 18:45,1125,48
2016/5/7 19:00,1140,48
2016/5/7 19:15,1155,48
2016/5/7 19:30,1170,48
2016/5/7 19:45,1185,48
2016/5/7 20:00,1200,48
2016/5/7 20:15,1215,48
2016/5/7 20:30,1230,48
2016/5/7 20:45,1245,48
2016/5/7 21:00,1260,48
2016/5/7 21:15,1275,48
2016/5/7 21:30,1290,48
2016/5/7 21:45,1305,48
2016/5/7 22:00,1320,48
2016/5/7 22:15,1335,48
2016/5/7 22:30,1350,48
2016/5/7 22:45,1365,48
2016/5/7 23:00,1380,48
2016/5/7 23:15,1395,48
2016/5/7 23:30,1410,48
2016/5/7 23:45,1425,48
2016/5/8 0:00,0,48
2016/5/8 0:15,15,48
2016/5/8 0:30,30,48
2016/5/8 0:45,45,48
2016/5/8 1:00,60,48
2016/5/8 1:15,75,48
2016/5/8 1:30,90,48
2016/5/8 1:45,105,48
2016/5/8 2:00,120,48
2016/5/8 2:15,135,48
2016/5/8 2:30,150,48
2016/5/8 2:45,165,48
2016/5/8 3:00,180,48
2016/5/8 3:15,195,48
2016/5/8 3:30,210,48
2016/5/8 3:45,225,48
2016/5/8 4:00,240,48
2016/5/8 4:15,255,48
2016/5/8 4:30,270,48
2016/5/8 4:45,285,48
2016/5/8 5:00,300,48
2016/5/8 5:15,315,48
2016/5/8 5:30,330,48
2016/5/8 5:45,345,48
2016/5/8 6:00,360,48
2016/5/8 6:15,375,48
2016/5/8 6:30,390,48
2016/5/8 6:45,405,48
2016/5/8 7:00,420,48
2016/5/8 7:15,435,48
2016/5/8 7:30,450,48
2016/5/8 7:45,465,48
2016/5/8 8:00,480,48
2016/5/8 8:15,495,48
2016/5/8 8:30,510,48
2016/5/8 8:45,525,48
2016/5/8 9:00,540,48
2016/5/8 9:15,555,48
2016/5/8 9:30,570,48
2016/5/8 9:45,585,48
2016/5/8 10:00,600,48
2016/5/8 10:15,615,48
2016/5/8 10:30,630,48
2016/5/8 10:45,645,48
2016/5/8 11:00,660,48
2016/5/8 11:15,675,48
2016/5/8 11:30,690,48
2016/5/8 11:45,705,48
2016/5/8 12:00,720,48
2016/5/8 12:15,735,48
2016/5/8 12:30,750,48
2016/5/8 12:45,765,48
2016/5/8 13:00,780,48
2016/5/8 13:15,795,48
2016/5/8 13:30,810,48
2016/5/8 13:45,825,48
2016/5/8 14:00,840,48
2016/5/8 14:15,855,48
2016/5/8 14:30,870,48
2016/5/8 14:45,885,48
2016/5/8 15:00,900,48
2016/5/8 15:15,915,48
2016/5/8 15:30,930,48
2016/5/8 15:45,945,48
2016/5/8 16:00,960,48
2016/5/8 16:15,975,48
2016/5/8 16:30,990,48
2016/5/8 16:45,1005,48
2016/5/8 17:00,1020,48
2016/5/8 17:15,1035,48
2016/5/8 17:30,1050,48
2016/5/8 17:45,1065,48
2016/5/8 18:00,1080,48
2016/5/8 18:15,1095,48
2016/5/8 18:30,1110,48
2016/5/8 18:45,1125,48
2016/5/8 19:00,1140,48
2016/5/8 19:15,1155,0
2016/5/8 19:30,1170,0
2016/5/8 19:45,1185,0
2016/5/8 20:00,1200,0
2016/5/8 20:15,1215,0
2016/5/8 20:30,1230,0
2016/5/8 20:45,1245,0
2016/5/8 21:00,1260,0
2016/5/8 21:15,1275,0
2016/5/8 21:30,1290,0
2016/5/8 21:45,1305,0
2016/5/8 22:00,1320,0
2016/5/8 22:15,1335,0
2016/5/8 22:30,1350,0
2016/5/8 22:45,1365,0
2016/5/8 23:00,1380,0
2016/5/8 23:15,1395,0
2016/5/8 23:30,1410,0
2016/5/8 23:45,1425,0
